"","State","Year","Period","AOD","Post","Tr_State","DiD","DDD","Period_Post","log_AOD","Tr_State_Period","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Rainfall_P","Temp_P","Time_To_Treatment","Log_Rainfall_P","Log_Temp_P","Log_AOD","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"1","Andhra Pradesh",2002,0,0.262714378,0,0,0,0,0,-1.33668785215532,0,104.37295146,30,34.060692487,31,11.300403321,41,161.176621594,41,302.451415,305.03792,302.609276829268,298.337101707317,11.300403321,302.609276829268,-7,2.42483841720524,5.71244245795396,-1.33668785215532,NA,NA,NA,NA,"1867.16","1354.72"
"2","Andhra Pradesh",2002,1,0.224993373,0,0,0,0,0,-1.49168433054481,0,104.37295146,30,34.060692487,31,11.300403321,41,161.176621594,41,302.451415,305.03792,302.609276829268,298.337101707317,161.176621594,298.337101707317,-7,5.08250079222254,5.69822406094814,-1.49168433054481,NA,NA,NA,NA,"1867.16","1354.72"
"3","Andhra Pradesh",2003,0,0.280020781,0,0,0,0,0,-1.27289146070975,0,71.89496447,30,3.54003905,31,34.808828691,41,131.087686247,41,304.049060333333,305.946453870968,302.714268292683,298.912780243902,34.808828691,302.714268292683,-6,3.54987105262177,5.71278935166168,-1.27289146070975,NA,NA,NA,NA,"1957.32","1367.87"
"4","Andhra Pradesh",2003,1,0.272080904,0,0,0,0,0,-1.30165581573653,0,71.89496447,30,3.54003905,31,34.808828691,41,131.087686247,41,304.049060333333,305.946453870968,302.714268292683,298.912780243902,131.087686247,298.912780243902,-6,4.87586645994334,5.70015182596665,-1.30165581573653,NA,NA,NA,NA,"1957.32","1367.87"
"5","Andhra Pradesh",2004,1,0.270326637,0,0,0,0,0,-1.30812428449515,0,124.866779224,30,111.704579546,31,22.960519282,39,108.224084789,41,302.464901333333,302.920575806452,303.023021951219,298.510223414634,108.224084789,298.510223414634,-5,4.68420393673419,5.69880418154142,-1.30812428449515,13476688,3224006,NA,38,"2227.69","1564.24"
"6","Andhra Pradesh",2004,0,0.24139973,0,0,0,0,0,-1.42130108879489,0,124.866779224,30,111.704579546,31,22.960519282,39,108.224084789,41,302.464901333333,302.920575806452,303.023021951219,298.510223414634,22.960519282,303.023021951219,-5,3.13377618800746,5.71380878266006,-1.42130108879489,13476688,3224006,NA,38,"2227.69","1564.24"
"7","Andhra Pradesh",2005,1,0.208348087,0,0,0,0,0,-1.56854510282129,0,73.02365936,30,37.945196248,31,34.76985117,41,272.248276614,41,303.852855,304.523099032258,302.590341707317,297.800233414634,272.248276614,297.800233414634,-4,5.60671443163325,5.69642290404622,-1.56854510282129,14197662,3280413,NA,NA,"2520.72","1595.2"
"8","Andhra Pradesh",2005,0,0.298440449,0,0,0,0,0,-1.20918486688994,0,73.02365936,30,37.945196248,31,34.76985117,41,272.248276614,41,303.852855,304.523099032258,302.590341707317,297.800233414634,34.76985117,302.590341707317,-4,3.54875066559646,5.7123798831559,-1.20918486688994,14197662,3280413,NA,NA,"2520.72","1595.2"
"9","Andhra Pradesh",2006,1,0.303494051,0,0,0,0,0,-1.19239326999265,0,139.63720686,30,80.68934795,31,40.651951927,41,210.606448082,41,302.476677333333,303.893435806452,302.16591195122,298.755173902439,210.606448082,298.755173902439,-3,5.34999121690448,5.69962442159764,-1.19239326999265,15738632,3633146,46897.375,NA,"2488.9","1681.06"
"10","Andhra Pradesh",2006,0,0.349172016,0,0,0,0,0,-1.05219059568491,0,139.63720686,30,80.68934795,31,40.651951927,41,210.606448082,41,302.476677333333,303.893435806452,302.16591195122,298.755173902439,40.651951927,302.16591195122,-3,3.70504685272538,5.71097624384432,-1.05219059568491,15738632,3633146,46897.375,NA,"2488.9","1681.06"
"11","Andhra Pradesh",2007,0,0.407194174,0,0,0,0,0,-0.898465121313796,0,289.264691,30,43.29010034,31,19.490839544,41,127.644093949,40,301.981518666667,304.912315483871,302.182960731707,298.489641707317,19.490839544,302.182960731707,-2,2.96994458822027,5.71103266417126,-0.898465121313796,17802768,4799822,NA,NA,"2576","1734"
"12","Andhra Pradesh",2007,1,0.293874843,0,0,0,0,0,-1.22460130636279,0,289.264691,30,43.29010034,31,19.490839544,41,127.644093949,40,301.981518666667,304.912315483871,302.182960731707,298.489641707317,127.644093949,298.489641707317,-2,4.84924587508088,5.69873523108254,-1.22460130636279,17802768,4799822,NA,NA,"2576","1734"
"13","Andhra Pradesh",2008,1,0.311422807,0,0,0,0,0,-1.16660378205865,0,84.93460066,30,27.991705558,31,121.144881551,40,124.83729665,40,302.517559,305.054198709677,301.177241219512,298.76604195122,124.83729665,298.76604195122,-1,4.82701126265033,5.69966079871194,-1.16660378205865,18182940,5349301,NA,NA,"2695.73","1777.37"
"14","Andhra Pradesh",2008,0,0.284118225,0,0,0,0,0,-1.25836484223231,0,84.93460066,30,27.991705558,31,121.144881551,40,124.83729665,40,302.517559,305.054198709677,301.177241219512,298.76604195122,121.144881551,301.177241219512,-1,4.79698719751324,5.70769893271073,-1.25836484223231,18182940,5349301,NA,NA,"2695.73","1777.37"
"15","Andhra Pradesh",2009,1,0.319942661,1,0,0,0,1,-1.1396134836188,0,62.38864786,30,62.889257435,31,9.656175424,41,115.414787447,40,303.594908,304.404518387097,302.453944390244,299.498174390244,115.414787447,299.498174390244,0,4.74853248665323,5.70210832201186,-1.1396134836188,NA,NA,NA,NA,"2325.74","1468"
"16","Andhra Pradesh",2009,0,0.360708901,0,0,0,0,0,-1.0196840143602,0,62.38864786,30,62.889257435,31,9.656175424,41,115.414787447,40,303.594908,304.404518387097,302.453944390244,299.498174390244,9.656175424,302.453944390244,0,2.26759765098729,5.71192901593009,-1.0196840143602,NA,NA,NA,NA,"2325.74","1468"
"17","Andhra Pradesh",2010,1,0.312511858,1,0,0,0,1,-1.1631128649256,0,151.60542137,30,115.768701591,31,7.280857755,41,265.95224717,41,302.865087333333,304.655729677419,303.32950097561,299.050921707317,265.95224717,299.050921707317,1,5.58331677074842,5.70061386560358,-1.1631128649256,NA,NA,NA,NA,NA,NA
"18","Andhra Pradesh",2010,0,0.451557284,1,0,0,0,0,-0.795053039311459,0,151.60542137,30,115.768701591,31,7.280857755,41,265.95224717,41,302.865087333333,304.655729677419,303.32950097561,299.050921707317,7.280857755,303.32950097561,1,1.98524867875696,5.71481967661663,-0.795053039311459,NA,NA,NA,NA,NA,NA
"19","Andhra Pradesh",2011,0,0.347786973,1,0,0,0,0,-1.05616513319758,0,63.94600111,30,31.237982847,31,16.102108864,41,83.912355383,40,302.791642333333,304.506258709677,301.872058048781,299.146437073171,16.102108864,301.872058048781,2,2.7789502487542,5.71000327876525,-1.05616513319758,NA,NA,NA,NA,NA,NA
"20","Andhra Pradesh",2011,1,0.38933954,1,0,0,0,1,-0.943303462608321,0,63.94600111,30,31.237982847,31,16.102108864,41,83.912355383,40,302.791642333333,304.506258709677,301.872058048781,299.146437073171,83.912355383,299.146437073171,2,4.4297728658372,5.70093320959687,-0.943303462608321,NA,NA,NA,NA,NA,NA
"21","Andhra Pradesh",2012,1,0.362669476,1,0,0,0,1,-1.01426339394083,0,84.300825715,30,25.309528895,31,9.993605943,41,156.805309975,41,303.731056,305.038177741936,302.578847317073,298.684634146342,156.805309975,298.684634146342,3,5.05500497197939,5.69938828146947,-1.01426339394083,NA,NA,NA,NA,NA,NA
"22","Andhra Pradesh",2012,0,0.387260042,1,0,0,0,0,-0.948658868452622,0,84.300825715,30,25.309528895,31,9.993605943,41,156.805309975,41,303.731056,305.038177741936,302.578847317073,298.684634146342,9.993605943,302.578847317073,3,2.30194548278704,5.71234189579484,-0.948658868452622,NA,NA,NA,NA,NA,NA
"23","Andhra Pradesh",2013,1,0.36786601,1,0,0,0,1,-1.00003651037576,0,159.24550615,30,22.758350221,31,7.486326404,41,205.624027523,41,302.089206333333,305.171208709677,302.837412195122,298.611070731707,205.624027523,298.611070731707,4,5.32604939213702,5.69914195987564,-1.00003651037576,NA,NA,NA,NA,NA,NA
"24","Andhra Pradesh",2013,0,0.427824705,1,0,0,0,0,-0.849041735053131,0,159.24550615,30,22.758350221,31,7.486326404,41,205.624027523,41,302.089206333333,305.171208709677,302.837412195122,298.611070731707,7.486326404,302.837412195122,4,2.01307821045529,5.71319606807616,-0.849041735053131,NA,NA,NA,NA,NA,NA
"25","Andhra Pradesh",2014,1,0.442328107,1,0,0,0,1,-0.815703348760863,0,68.918966631,30,74.302208621,31,7.093958733,41,149.567131808,40,304.294028333333,304.310228064516,302.637067560976,299.262142682927,149.567131808,299.262142682927,5,5.00774533423545,5.70131992066724,-0.815703348760863,NA,NA,NA,NA,NA,NA
"26","Andhra Pradesh",2014,0,0.511563176,1,0,0,0,0,-0.670284189975895,0,68.918966631,30,74.302208621,31,7.093958733,41,149.567131808,40,304.294028333333,304.310228064516,302.637067560976,299.262142682927,7.093958733,302.637067560976,5,1.95924353916507,5.71253429074894,-0.670284189975895,NA,NA,NA,NA,NA,NA
"27","Andhra Pradesh",2015,0,0.374690139,1,0,0,0,0,-0.981655890582438,0,222.7237198,30,40.476546748,31,40.561848315,41,211.369127942,41,302.235467333333,305.082462258065,302.352817317073,299.669952926829,40.561848315,302.352817317073,6,3.7028279281411,5.71159460474121,-0.981655890582438,NA,NA,NA,NA,NA,NA
"28","Andhra Pradesh",2015,1,0.398245369,1,0,0,0,1,-0.920686958633726,0,222.7237198,30,40.476546748,31,40.561848315,41,211.369127942,41,302.235467333333,305.082462258065,302.352817317073,299.669952926829,211.369127942,299.669952926829,6,5.35360602654664,5.7026817121288,-0.920686958633726,NA,NA,NA,NA,NA,NA
"29","Andhra Pradesh",2016,0,0.425826033,1,0,0,0,0,-0.853724389359263,0,241.12631109,30,99.210278278,31,3.803419384,40,29.055280955,39,302.128956666667,304.848147096774,303.968583658537,300.185855121951,3.803419384,303.968583658537,7,1.33590050001566,5.71692435283744,-0.853724389359263,NA,NA,NA,NA,NA,NA
"30","Andhra Pradesh",2016,1,0.437966129,1,0,0,0,1,-0.825613702646119,0,241.12631109,30,99.210278278,31,3.803419384,40,29.055280955,39,302.128956666667,304.848147096774,303.968583658537,300.185855121951,29.055280955,300.185855121951,7,3.36920025524456,5.70440179990789,-0.825613702646119,NA,NA,NA,NA,NA,NA
