,State,Year,GW_Level,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_GW_Level,Log_Rainfall_May,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
1,Andhra Pradesh,2002,6.086199217,0,0,0,104.3729515,30,34.06069249,31,11.30040332,41,161.1766216,41,302.451415,305.03792,302.6092768,298.3371017,-7,1.806023785,3.528144006,5.720436097,NA,NA,NA,NA,1867.16,1354.72
2,Andhra Pradesh,2003,7.691005523,0,0,0,71.89496447,30,3.54003905,31,34.80882869,41,131.0876862,41,304.0490603,305.9464539,302.7142683,298.9127802,-6,2.040051532,1.264137758,5.723410099,NA,NA,NA,NA,1957.32,1367.87
3,Andhra Pradesh,2004,6.754107267,0,0,0,124.8667792,30,111.7045795,31,22.96051928,39,108.2240848,41,302.4649013,302.9205758,303.023022,298.5102234,-5,1.910150804,4.715857704,5.713470645,13476688,3224006,NA,38,2227.69,1564.24
4,Andhra Pradesh,2005,7.408788612,0,0,0,73.02365936,30,37.94519625,31,34.76985117,41,272.2482766,41,303.852855,304.523099,302.5903417,297.8002334,-4,2.002666946,3.636142915,5.718746943,14197662,3280413,NA,NA,2520.72,1595.2
5,Andhra Pradesh,2006,5.415485014,0,0,0,139.6372069,30,80.68934795,31,40.65195193,41,210.6064481,41,302.4766773,303.8934358,302.165912,298.7551739,-3,1.689262445,4.390606571,5.7166771,15738632,3633146,46897.375,NA,2488.9,1681.06
6,Andhra Pradesh,2007,6.175903734,0,0,0,289.264691,30,43.29010034,31,19.49083954,41,127.6440939,40,301.9815187,304.9123155,302.1829607,298.4896417,-2,1.820655225,3.767923979,5.720024245,17802768,4799822,NA,NA,2576,1734
7,Andhra Pradesh,2008,5.130287626,0,0,0,84.93460066,30,27.99170556,31,121.1448816,40,124.8372967,40,302.517559,305.0541987,301.1772412,298.766042,-1,1.635161725,3.331908236,5.720489462,18182940,5349301,NA,NA,2695.73,1777.37
8,Andhra Pradesh,2009,5.752172817,0,1,0,62.38864786,30,62.88925744,31,9.656175424,41,115.4147874,40,303.594908,304.4045184,302.4539444,299.4981744,0,1.749577665,4.141375361,5.718357469,NA,NA,NA,NA,2325.74,1468
9,Andhra Pradesh,2010,4.875345584,0,1,0,151.6054214,30,115.7687016,31,7.280857755,41,265.9522472,41,302.8650873,304.6557297,303.329501,299.0509217,1,1.584190991,4.751594249,5.719182384,NA,NA,NA,NA,NA,NA
10,Andhra Pradesh,2011,4.747974433,0,1,0,63.94600111,30,31.23798285,31,16.10210886,41,83.91235538,40,302.7916423,304.5062587,301.872058,299.1464371,2,1.557718092,3.441634753,5.718691641,NA,NA,NA,NA,NA,NA
