Dist Code,Year,State Code,State Name,Dist Name,Area,RICE AREA (1000 ha),WHEAT AREA (1000 ha),KHARIF SORGHUM AREA (1000 ha),RABI SORGHUM AREA (1000 ha),SORGHUM AREA (1000 ha),PEARL MILLET AREA (1000 ha),MAIZE AREA (1000 ha),FINGER MILLET AREA (1000 ha),BARLEY AREA (1000 ha),CHICKPEA AREA (1000 ha),PIGEONPEA AREA (1000 ha),MINOR PULSES AREA (1000 ha),GROUNDNUT AREA (1000 ha),SESAMUM AREA (1000 ha),RAPESEED AND MUSTARD AREA (1000 ha),SAFFLOWER AREA (1000 ha),CASTOR AREA (1000 ha),LINSEED AREA (1000 ha),SUNFLOWER AREA (1000 ha),SOYABEAN AREA (1000 ha),OILSEEDS AREA (1000 ha),SUGARCANE AREA (1000 ha),COTTON AREA (1000 ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
165,1990,9,Punjab,Gurdaspur,209.3,173,206,0,0,0,0,17,0,0.3,0.5,0.01,5.2,0,4.9,1.6,0,0,0.3,,0,6.8,17.5,0,7.2,1.98,9.18,0.11,0,
165,1991,9,Punjab,Gurdaspur,256.16,175,201,0,0,0,0,17,0,0.3,0.2,0,4.78,0,4.7,5.4,0,0,0.3,,0,10.4,17,0.2,7.67,1.95,9.61,0.13,0,38.38
165,1992,9,Punjab,Gurdaspur,223.3,182,211,0,0,0,0,18,0,0.2,0.1,0,4.7,0,5.1,4.5,0,0,0.2,,0,9.8,17,0,8.17,2.5,10.67,0.18,0,
165,1993,9,Punjab,Gurdaspur,214.1,185,218,0,0,0,0,13,0,0.3,0.2,0,3.5,0,3.8,3.2,0,0,0.1,0.1,0,7.2,11,0,8.56,2.58,11.14,0.13,0,
165,1994,9,Punjab,Gurdaspur,220.8,190,219,0,0,0,0,16,0,0.2,0.2,0,3.7,0,3.6,3.7,0,0,0.1,0.1,0,7.5,12,0,8.99,2.81,11.79,0.55,0,
165,1995,9,Punjab,Gurdaspur,237.8,191,210,0,0,0,0,16,0,0.2,0.3,0,4.1,0,4.4,4.3,0,0,0.1,3,0,11.8,19,0,9.22,2.46,11.67,0.5,0,
165,1996,9,Punjab,Gurdaspur,233.7,186,205,0,0,0,0,15,0,0.1,0.3,0.1,4.2,0,3,4,0,0,0.3,4,0,11.3,21.1,0,9.62,2.46,12.08,1,0,
165,1997,9,Punjab,Gurdaspur,215.4,182,195,0,0,0,0,14,0,0,0,0.1,2.9,0,2.5,2.8,0,0,0.2,0.5,0,6,18.7,0,9.83,2.63,12.46,0.9,0,
165,1998,9,Punjab,Gurdaspur,256.62,187,214,0,0,0,0,14,0,0,0.2,0,3.2,0,2.5,3.8,0,0,0.1,2,0,8.4,15,0,10.11,2.23,12.34,0.37,0,34.72
165,1999,9,Punjab,Gurdaspur,265.18,198,213,0,0,0,0,13,0,0,0.1,0,0.9,0,2.4,4,0,0,0.1,0,0,6.5,16.4,0,2.53,3.99,6.51,0.62,0,36.98
