"","State","Year","NDVI","Tr_State","Post","DiD","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Time_To_Treatment","Log_NDVI","Log_Rainfall_June","Log_Rainfall_May","Log_Temp_June","Log_Temp_May","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"1","Andhra Pradesh",2002,0.405047469,0,0,0,104.37295146,30,34.060692487,31,11.300403321,41,161.176621594,41,302.451415,305.03792,302.609276829268,298.337101707317,-7,-0.903751011336442,4.64797055624787,3.52814400641365,5.71192065300123,5.7204360967482,NA,NA,NA,NA,"1867.16","1354.72"
"2","Andhra Pradesh",2003,0.366179194,0,0,0,71.89496447,30,3.54003905,31,34.808828691,41,131.087686247,41,304.049060333333,305.946453870968,302.714268292683,298.912780243902,-6,-1.00463246430338,4.27520622708666,1.26413775815829,5.71718907106088,5.72341009929053,NA,NA,NA,NA,"1957.32","1367.87"
"3","Andhra Pradesh",2004,0.417207309,0,0,0,124.866779224,30,111.704579546,31,22.960519282,39,108.224084789,41,302.464901333333,302.920575806452,303.023021951219,298.510223414634,-5,-0.874172036833523,4.82724740276165,4.71585770385604,5.71196524208891,5.71347064509702,13476688,3224006,NA,38,"2227.69","1564.24"
"4","Andhra Pradesh",2005,0.382668874,0,0,0,73.02365936,30,37.945196248,31,34.76985117,41,272.248276614,41,303.852855,304.523099032258,302.590341707317,297.800233414634,-4,-0.960585222494689,4.29078348946098,3.63614291474921,5.71654355462081,5.71874694316364,14197662,3280413,NA,NA,"2520.72","1595.2"
"5","Andhra Pradesh",2006,0.452850735,0,0,0,139.63720686,30,80.68934795,31,40.651951927,41,210.606448082,41,302.476677333333,303.893435806452,302.16591195122,298.755173902439,-3,-0.792192711108505,4.93904767960195,4.39060657090076,5.71200417477404,5.71667709984232,15738632,3633146,46897.375,NA,"2488.9","1681.06"
"6","Andhra Pradesh",2007,0.425936686,0,0,0,289.264691,30,43.29010034,31,19.490839544,41,127.644093949,40,301.981518666667,304.912315483871,302.182960731707,298.489641707317,-2,-0.853464568171615,5.66734215475809,3.76792397930752,5.7103658190343,5.72002424505736,17802768,4799822,NA,NA,"2576","1734"
"7","Andhra Pradesh",2008,0.395849206,0,0,0,84.93460066,30,27.991705558,31,121.144881551,40,124.83729665,40,302.517559,305.054198709677,301.177241219512,298.76604195122,-1,-0.926721933176988,4.44188155634715,3.33190823621898,5.71213932206727,5.72048946150798,18182940,5349301,NA,NA,"2695.73","1777.37"
"8","Andhra Pradesh",2009,0.4010364,0,1,0,62.38864786,30,62.889257435,31,9.656175424,41,115.414787447,40,303.594908,304.404518387097,302.453944390244,299.498174390244,0,-0.913703082727862,4.13338333350445,4.14137536112364,5.71569427331231,5.71835746946178,NA,NA,NA,NA,"2325.74","1468"
"9","Andhra Pradesh",2010,0.420327225,0,1,0,151.60542137,30,115.768701591,31,7.280857755,41,265.95224717,41,302.865087333333,304.655729677419,303.32950097561,299.050921707317,1,-0.866721763908286,5.02128123358469,4.75159424873624,5.7132874500277,5.71918238392752,NA,NA,NA,NA,NA,NA
"10","Andhra Pradesh",2011,0.436382452,0,1,0,63.94600111,30,31.237982847,31,16.102108864,41,83.912355383,40,302.791642333333,304.506258709677,301.872058048781,299.146437073171,2,-0.829236236647463,4.15803899456068,3.44163475332852,5.7130449199054,5.71869164099349,NA,NA,NA,NA,NA,NA
"11","Andhra Pradesh",2012,0.37789737,0,1,0,84.300825715,30,25.309528895,31,9.993605943,41,156.805309975,41,303.731056,305.038177741936,302.578847317073,298.684634146342,3,-0.97313262816401,4.43439165991832,3.23118096098989,5.71614262563166,5.72043694169831,NA,NA,NA,NA,NA,NA
"12","Andhra Pradesh",2013,0.415849209,0,1,0,159.24550615,30,22.758350221,31,7.486326404,41,205.624027523,41,302.089206333333,305.171208709677,302.837412195122,298.611070731707,4,-0.877432562797421,5.07044707521581,3.12493212073459,5.71072235896696,5.72087295914676,NA,NA,NA,NA,NA,NA
"13","Andhra Pradesh",2014,0.402697318,0,1,0,68.918966631,30,74.302208621,31,7.093958733,41,149.567131808,40,304.294028333333,304.310228064516,302.637067560976,299.262142682927,5,-0.909570071191605,4.23293141780095,4.30814067700197,5.71799443243608,5.71804766811761,NA,NA,NA,NA,NA,NA
