State,St_Code,Year,NDVI,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_NDVI,Log_Rainfall_June,Log_Rainfall_May,Log_Temp_June,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
Andhra Pradesh,1,2002,0.405047469,0,0,0,104.3729515,30,34.06069249,31,11.30040332,41,161.1766216,41,302.451415,305.03792,302.6092768,298.3371017,-7,-0.903751011,4.647970556,3.528144006,5.711920653,5.720436097,NA,NA,NA,NA,1867.16,1354.72
Andhra Pradesh,1,2003,0.366179194,0,0,0,71.89496447,30,3.54003905,31,34.80882869,41,131.0876862,41,304.0490603,305.9464539,302.7142683,298.9127802,-6,-1.004632464,4.275206227,1.264137758,5.717189071,5.723410099,NA,NA,NA,NA,1957.32,1367.87
Andhra Pradesh,1,2004,0.417207309,0,0,0,124.8667792,30,111.7045795,31,22.96051928,39,108.2240848,41,302.4649013,302.9205758,303.023022,298.5102234,-5,-0.874172037,4.827247403,4.715857704,5.711965242,5.713470645,13476688,3224006,NA,38,2227.69,1564.24
Andhra Pradesh,1,2005,0.382668874,0,0,0,73.02365936,30,37.94519625,31,34.76985117,41,272.2482766,41,303.852855,304.523099,302.5903417,297.8002334,-4,-0.960585222,4.290783489,3.636142915,5.716543555,5.718746943,14197662,3280413,NA,NA,2520.72,1595.2
Andhra Pradesh,1,2006,0.452850735,0,0,0,139.6372069,30,80.68934795,31,40.65195193,41,210.6064481,41,302.4766773,303.8934358,302.165912,298.7551739,-3,-0.792192711,4.93904768,4.390606571,5.712004175,5.7166771,15738632,3633146,46897.375,NA,2488.9,1681.06
Andhra Pradesh,1,2007,0.425936686,0,0,0,289.264691,30,43.29010034,31,19.49083954,41,127.6440939,40,301.9815187,304.9123155,302.1829607,298.4896417,-2,-0.853464568,5.667342155,3.767923979,5.710365819,5.720024245,17802768,4799822,NA,NA,2576,1734
Andhra Pradesh,1,2008,0.395849206,0,0,0,84.93460066,30,27.99170556,31,121.1448816,40,124.8372967,40,302.517559,305.0541987,301.1772412,298.766042,-1,-0.926721933,4.441881556,3.331908236,5.712139322,5.720489462,18182940,5349301,NA,NA,2695.73,1777.37
Andhra Pradesh,1,2009,0.4010364,0,1,0,62.38864786,30,62.88925744,31,9.656175424,41,115.4147874,40,303.594908,304.4045184,302.4539444,299.4981744,0,-0.913703083,4.133383334,4.141375361,5.715694273,5.718357469,NA,NA,NA,NA,2325.74,1468
Andhra Pradesh,1,2010,0.420327225,0,1,0,151.6054214,30,115.7687016,31,7.280857755,41,265.9522472,41,302.8650873,304.6557297,303.329501,299.0509217,1,-0.866721764,5.021281234,4.751594249,5.71328745,5.719182384,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2011,0.436382452,0,1,0,63.94600111,30,31.23798285,31,16.10210886,41,83.91235538,40,302.7916423,304.5062587,301.872058,299.1464371,2,-0.829236237,4.158038995,3.441634753,5.71304492,5.718691641,NA,NA,NA,NA,NA,NA
